read_name	target	strand	count	score_prefix	score_suffix	log_p	offset	ticks	mod	CGG_methylation
9a301cf0-ff50-4573-b1bb-12fbdd0db799	fmr1	-	23	6.673289468138908	6.525672525634001	-4309.968685564366	64528	423	01011100101011111111	14
2c38db9f-598c-4758-85f0-1ae87c826b8e	fmr1	+	21	5.931785433900123	5.16847221097798	-5579.907639778431	9007	407	0001000100001001000	4
354e83ef-dc7b-45b9-806b-850249912307	fmr1	+	20	4.788271424217146	5.294832262299613	-3886.6640466660433	8377	0	1000000001100001000	4
ba89a889-5a2c-463e-ae8c-d0ffde8847ec	fmr1	-	23	6.546952046351085	6.691992856378425	-3776.341484559891	62210	185	00000000110000101000	4
6de97b8d-e562-4921-af6a-aab885ce2514	fmr1	-	21	6.0821565084518285	7.214351528108951	-3895.635400969025	64882	415	0000000011101000000	4
53510a14-1d0e-4e6e-894b-051e59eeade7	fmr1	+	14	3.80614361088161	4.584542939157197	-3750.263907303476	10066	0	10100000000	2
564a7266-6bf4-45ad-bdc6-4474f665821b	fmr1	+	23	6.069802935486418	4.5538892510655	-5394.722998476947	8853	391	0000000000000000010	1
97e3e7f8-101f-47a9-9764-dd8e22125e8f	fmr1	+	3	4.613568646771772	4.274435068863528	-2558.7320796703607	10063	0	0	0
a7ddfcad-64a5-49ea-9d8c-7e93cf11253a	fmr1	+	28	5.675984794493361	5.33299568128882	-5880.07172300136	8789	506	00000001101000010000	4
eaf66963-1c23-4f7e-ae0c-9a352c197ccb	fmr1	-	22	5.4822620048904	5.875945927696863	-4747.844833735427	68200	362	111111111011111111111	20
75df707e-8fc1-43ae-a21c-4df4faccdb36	fmr1	+	17	4.390868676479325	4.4905357220076105	-3148.4524331461657	7999	0	1010000010010110	6
b44396e2-4515-4777-9795-866bf7287379	fmr1	+	23	5.953082340244983	5.332811302987743	-5633.424424277574	9638	569	0001000000100000000	2
5eb0d970-696d-4aa0-af89-c81abb5075ca	fmr1	+	21	6.571863430966899	4.337307212717342	-4838.729914680012	8435	115	10001000100000000	3
ee5a2f13-1f5c-4308-b44f-2df098f5d259	fmr1	+	20	5.833864562461467	5.112639712591241	-5513.322363090699	9012	264	0000000000110001000	3
b89696c2-0440-41ae-8542-e73a3aa1aaf6	fmr1	-	20	6.616260392519615	6.536166555513211	-3639.0118014164455	59108	269	011111011000010011	10
24a07b14-b891-4b3a-96bf-65439ebfb4a6	fmr1	-	25	5.968365388470173	6.823765125395291	-4430.90674077464	62394	345	10001100001101101100100	10
94d4f947-1369-4f0b-9a39-9dad15b34a6b	fmr1	+	21	6.182526403122982	5.284185960920771	-4871.13471160861	7405	419	0000000110001111110	8
eada4510-c450-4c53-8007-38567925e6ca	fmr1	+	21	4.169228245954051	4.8846419799629714	-3806.405856811736	9895	0	1000010010000000000	3
53a22a60-a6a5-4156-af3f-b6aa44db8860	fmr1	-	21	6.390255727491962	7.209077695870955	-3295.4897842143973	54339	126	000000001100000000	2
f5ce4352-8abe-4832-bb84-3fa97ae5f0d4	fmr1	-	21	6.191175900062073	7.265882772842639	-3449.313388116273	63320	223	0010000101101111010	9
42d2e54e-4b65-4772-8522-4fcf34855b9c	fmr1	+	20	6.330855362615971	5.273848465727949	-5527.470328494644	8426	414	00000000100000000	1
9aacbe0e-b6bd-409e-876a-0f521eef6fb0	fmr1	-	26	6.430369287689894	6.906060017932121	-4249.917747602386	65387	284	0000000000101000000100001	4
873deb85-faef-4868-aac6-15f7b2a02efe	fmr1	+	27	5.503334991061413	5.268944900665525	-6441.762774303605	9425	656	00000000000000000100	1
4dfd4040-d019-4f53-942b-fc498fb921b1	fmr1	-	19	5.40265877016129	6.554922226462082	-3845.3793664677514	57178	0	000110001100000000	4
cae721d0-666a-4338-97aa-3f25531c5bd2	fmr1	+	19	5.6536919622138	4.34077998932131	-5836.941492121696	10825	0	010000010010110	5
fec1d3b2-275b-4945-865a-de80a7812893	fmr1	+	24	5.97238504945351	5.128549285873157	-5733.381921777741	9143	472	000000100010000000001	3
566ba271-2958-4530-954d-cea723f0c27a	fmr1	+	27	5.223952589841723	4.348273004218616	-9031.310966353998	11243	1080	01010000000100000000001100	5
25b04a5e-fdf1-43be-80b7-aa1821855242	fmr1	+	18	5.729498127661192	4.407899491623421	-5631.624328661346	9061	693	0000000010000001	2
8999aac0-a4c3-4269-82c6-adc8055b2129	fmr1	-	603	3.2299335421132547	3.72079826514694	-106263.00402734158	30535	20532	1011101101010010010100010011101001100101011111111101010101100101011111110011001111001010101100110111011001011111101000100110110101100110011110011101001010000101110100111011111111111111101111110111011111011110100110010010011110110111011011011010110111111111011100110101001110011011101000101110101110111100111001011110101110100101001100110100111011111011011111000011111100011111100100111111101011111011111110101101010111111110101101110001111011111110101011110100010111101001101010111101110111111111001001010001100111011001001101100011101011110110011111110011111111101011111100010101110101011111101111100111011011100111000111111100111011011111000011101101111101111101010111011111001001100010111011111110111101111011011011100111	472
1b1c433b-94eb-46ed-9eb4-468ba88713cb	fmr1	-	19	5.060232160527324	5.01371179901829	-2750.920168812325	61198	0	1101110101001100	9
3b9c9290-fe4f-4049-bb2d-ee4f94666dbc	fmr1	+	21	6.21301972149747	5.511969164941462	-5635.045180469359	9682	623	000000000100000010	2
b92cb542-f4c6-4acf-a2db-07028bd01554	fmr1	-	21	6.238142834544416	7.409630464134048	-3799.575396552895	58720	296	000100000100000001	3
337e19d3-0789-40e4-9afe-d58a22277b6b	fmr1	+	10	4.173928331138342	5.146583193824405	-3387.33793064253	7977	0	000000	0
83506097-a06b-4e9e-9789-398c2a7738c8	fmr1	-	34	4.727707240412446	5.644078628162737	-4746.072533437767	74681	278	0000001100100000110001000000110	8
dc5f096f-2fbe-4a11-8428-8ddec3ab6d78	fmr1	-	20	5.334542011204181	4.474560735765232	-3421.0615204930746	60871	53	000000001000000000	1
eaec40ca-c30f-4d91-bdfe-edf0596c507b	fmr1	+	24	5.3723733108108105	4.459035081129808	-6901.36894837879	12100	759	0000000001000000000	1
a0956fbb-4d89-4447-a23e-1b7004e51c36	fmr1	+	26	4.780767262151136	4.472601783769063	-6460.93255789507	13065	908	0101011010010000000010	7
99d0193d-19b6-41c3-986f-3ce6aa4f6698	fmr1	-	492	4.0322325458150985	3.827749429838049	-96484.66304215832	11580	18701	1101001110111111111110100101110101101110111110010101111000101001000110110011011101101101100110000111110110111111011101011011101110101001101001101000011110100010011101010101010011011001101111111011010111011101011111110110101011110001101001101101011001100101101101011011110100110011011110011111110111101101111111110111110101101001110101101111010100111111111111110110011011101111110110001000100110100011011010000111111101110010101001100101001000110111101010010110010011010011011011011000011111111110110010011000111010001001010100101011100110111111011111000110111111110100110001001100001100101	361
fa355e72-e1c5-47fd-ae9d-46c4cf8f502a	fmr1	+	24	6.145619082192871	5.630595147708449	-4875.935299383064	8982	236	000000000100000000001	2
a92e8766-b584-4a2d-b3d0-8002525b2e3b	fmr1	+	23	5.761162177666084	5.180808885379634	-6274.771302862287	9367	407	00001000000100000000	2
b0c9598f-d913-4611-baea-05faea93fd3b	fmr1	+	20	6.335276639344262	5.8928764878811855	-4390.097154997608	9696	368	110011000010101111	10
49a9f6ea-110b-4c7a-85f1-d2bf2178082f	fmr1	-	18	3.9202792342959527	5.87266574918446	-3826.187237040857	57406	361	1101101101011100	10
7c8f6e68-c30d-4c92-bb22-3b2b4d622ad6	fmr1	+	20	6.222305268261151	5.05228571088996	-5272.202977932993	9806	485	000010000100001000	3
450d36a1-47eb-445c-bcb2-0447db846a7b	fmr1	-	20	6.122082832532051	6.831172548491379	-3351.8811653371454	67686	91	1100111010110011110	12
4912cb82-3847-4943-bbce-b7e4bc452663	fmr1	+	23	5.499989839234104	5.186822212837837	-5558.212955933722	8526	377	00001000100100000000001	4
fddd5142-e857-43f9-8958-04ceaf59b736	fmr1	-	20	6.137253894156347	6.811120779028436	-3950.22122715637	61749	418	1111001001100111110	12
ef5ea68e-d606-4b92-8cac-2b04effd6542	fmr1	-	20	5.473999237470777	7.328554053905148	-3543.7864176318158	59636	35	010000101100001100	6
6d30ccf0-8931-4e1c-8b0a-317eddcdfbe1	fmr1	+	22	6.1877217494860846	5.35550185381356	-5285.724684214913	9061	423	01000000000100000000	2
23dd72ef-9e5f-4d18-b227-309a7b71d389	fmr1	+	23	6.317171789792092	5.153103241592222	-4686.49125151632	8569	585	1001111000001111101	11
0467b93b-ae92-4fdd-84b5-dd3317d16f38	fmr1	+	23	3.897519964920847	6.772096301128649	-5321.951630898996	8363	667	110000000100000000	3
793d7edd-6543-4b93-af99-c67d6c86330a	fmr1	-	20	5.750137102171327	6.611289342244466	-4919.140140709244	63363	419	01111111111111111	16
793d7edd-6543-4b93-af99-c67d6c86330a	fmr1	+	125	3.681406973989048	3.4854777411750484	-31139.829139146565	50134	5219	0001010110010100100100101110110011110111011001101001100101001110010100110110101101000001011110010111011010111100011011011110111001110010110	76
a88aaeed-4797-4a05-8343-79403a3fe2ae	fmr1	-	15	6.592547611622505	5.531423885338886	-3220.334871971051	58637	0	01111000011000	6
3002bfe4-06be-43e7-ba6c-5835d4492248	fmr1	+	22	5.446996996996997	6.693356181532047	-4979.201666651474	11441	392	000000000100000000	1
0e9bbc14-9df3-4b2c-924e-d3f493986635	fmr1	-	21	4.731174125993542	4.287905141469595	-2828.7417487772227	65002	0	110000000101010000	5
bf569358-8aab-4478-9976-61252c27970c	fmr1	-	20	6.165547869486383	6.867847980234322	-3505.8702818046286	60598	128	010000010100100101	6
4b398797-6d4b-4681-b897-02b68e1e0e90	fmr1	+	21	5.76698078748511	6.799482685810811	-5798.452207769811	10230	587	000000000100000000	1
0970d12c-03c1-49a1-a545-a438c0f49aba	fmr1	-	21	5.0254621583355945	5.817043313419117	-3684.819686250495	60420	0	111111101001000000110	11
