gene	FXS_x	NL_x	mean_diff	FXS_y	NL_y	cv_FXS_zscore	cv_NL_zscore
A1BG	25.772975000000002	11.462202000000001	14.310773000000001	0.532180589373083	0.8621471346937062	0.048182085510263074	1.327609830153212
A1CF	156.12855	65.15226	90.97628999999999	0.4948166200346812	0.19334664313653954	-0.0966947200310043	-1.2656285349593146
A2M	158.62805	131.98445999999998	26.643590000000017	0.3682787046130758	0.3662669575121384	-0.5873387626940958	-0.5951392051712062
A2ML1	156.839	102.03936	54.79964	0.2006872966307702	0.18837701468273058	-1.2371655411270064	-1.284898005196644
A3GALT2	21.9574375	21.042428	0.9150095	0.48289471566538245	0.5166426510938731	-0.14292127067794794	-0.012065444461765204
A4GALT	18.440402499999998	16.04412	2.396282499999998	0.6346075347946976	0.1760547962164817	0.4453371232857007	-1.3326767524813168
A4GNT	103.544325	70.50858	33.035745000000006	0.33095176379653474	0.24933198340816487	-0.7320719921095905	-1.0485483531875757
AAAS	14.336375	10.137144	4.199231000000001	0.5391254547174316	0.7916291495672478	0.07511043182408413	1.0541800902399074
AACS	20.0183775	3.6308048	16.3875727	0.6155143821463421	1.389526296573009	0.3713044385258795	3.372494504747382
AADAC	143.200375	67.90454	75.29583500000001	0.3506191760208737	0.18568392191807198	-0.6558126463607702	-1.295340329277267
AADACL2	256.4245	239.35999999999999	17.064500000000038	0.07019359585383807	0.13927851133256933	-1.743147931289962	-1.4752748427805935
AADACL3	49.057575	34.1345	14.923074999999997	0.2231593770932373	0.40896094448816306	-1.1500312433284468	-0.42959553948390594
AADACL4	58.735525	67.76212000000001	-9.026595000000007	0.11561772434232148	0.26456887888869646	-1.5670182869712612	-0.989468100669629
AADAT	103.67238	27.694978000000003	75.977402	0.6846999689708309	0.6742417103341131	0.6395678748286205	0.5990165327297822
AAGAB	37.6365	6.1686895999999996	31.467810399999998	0.49121338033843875	0.7416816730811813	-0.11066609047248907	0.860511404436987
AAK1	55.77175	26.12532	29.64643	0.39978100185200727	0.20090760635427904	-0.4651902792218874	-1.236311301881637
AAMDC	47.0166	39.11502	7.901579999999996	0.2747592511834214	0.33700013287000574	-0.9499554736260502	-0.7086197624451565
AAMP	9.930855000000001	4.199211399999999	5.731643600000002	0.5060152955734866	0.6754623427961	-0.053272450741007824	0.60374947023519
AANAT	9.60843	13.460084	-3.851654	1.062243399063406	0.7869347312699243	2.1034724618792393	1.0359777327593358
AAR2	19.059652749999998	5.59969946	13.459953289999998	0.7331187179666153	0.6904032934641097	0.8273090010264762	0.661682212469463
AARD	111.8792	62.2857	49.5935	0.48608454982647376	0.1490432523492192	-0.13055285823012086	-1.4374125783991685
AARS1	16.096989999999998	3.1436960000000003	12.953293999999998	0.6674491879382694	0.571466295583375	0.5726788881030925	0.20051032364876728
AARS2	13.6173225	6.844628	6.7726945	0.6391745294832221	0.6094768448265432	0.4630454024946052	0.3478942084106958
AARSD1	12.8434275	8.505404	4.3380235	0.3687422415288834	0.374870880331331	-0.5855414229359874	-0.5617779516630811
AASDH	107.8044	86.19404	21.61036	0.231487100436797	0.3939947239430082	-1.1177409386095	-0.4876262643239361
AASDHPPT	68.957675	29.05546	39.902215	0.5727115088411066	0.4704587973003942	0.20533857188342058	-0.19114088327782655
AASS	179.25675	126.4879	52.768850000000015	0.4447711540909116	0.2749312077710869	-0.2907433547488849	-0.9492887210953668
AATF	23.071649999999998	13.063288	10.008361999999998	0.6325276503384345	0.6692933690550358	0.43727248183422	0.5798296023812473
AATK	7.573155	5.031679800000001	2.541475199999999	0.7752368637803952	1.3831152160877516	0.9906198732080971	3.3476358808586872
ABAT	27.432975	33.05082	-5.617845000000003	0.30369271239311274	0.3156666449558702	-0.8377675153460385	-0.7913392281438024
ABCA1	60.3117775	12.5909	47.7208775	0.7682154310206127	0.6433593502393365	0.9633946408098198	0.47927182258979384
ABCA10	78.0314	35.392222	42.63917800000001	0.5999723795935921	0.6542103467858815	0.3110411495491799	0.5213459850634001
ABCA12	235.3555	191.9454	43.4101	0.28663240114083377	0.22089251012216018	-0.9039179656203251	-1.1588208995446327
ABCA13	146.74495	80.48026	66.26468999999999	0.39727197987534946	0.2333215647443844	-0.47491887860379045	-1.1106279007425737
ABCA2	3.93470825	8.02703	-4.09232175	0.8814622021881964	0.461167583732661	1.4025029779360862	-0.22716707013992204
ABCA3	3.01908525	4.308567399999999	-1.2894821499999995	0.6874108091419175	1.2706114945910387	0.6500790135345486	2.911408679344627
ABCA4	112.585625	70.28908	42.296544999999995	0.4150469070385182	0.17090265570226146	-0.40599754311061825	-1.3526539035339702
ABCA5	33.9364175	9.98032	23.9560975	0.7010479811592666	0.8516996522199257	0.7029564233353243	1.287100272053504
ABCA6	92.991925	56.306180000000005	36.68574499999999	0.36320217919070563	0.4790417970711068	-0.607022720246382	-0.1578607577783055
ABCA7	6.375612500000001	11.51165	-5.136037499999999	0.75858191923845	0.2560465458207378	0.926041210811432	-1.0225129942531266
ABCA8	204.93525	224.3672	-19.43195	0.18461353031470465	0.3339387185969698	-1.2994907158373659	-0.7204902336014435
ABCA9	139.1505	118.8249	20.325599999999994	0.15961921000435617	0.13587277231461595	-1.3964048646110836	-1.4884804148374473
ABCB1	115.977925	27.691219999999998	88.286705	0.5756219791139454	0.3103102304773188	0.2166237657002976	-0.8121084406377744
ABCB10	22.071495	3.0210592000000003	19.0504358	0.706836692845558	0.9918845146398095	0.7254018452794899	1.8306596264864703
ABCB11	159.0185	108.32856000000001	50.68993999999998	0.33076166959224423	0.25642537472140814	-0.7328090722848816	-1.0210441053222223
ABCB4	138.819425	66.87624000000001	71.94318499999999	0.49819400235268196	0.397622334100385	-0.08359909957130604	-0.47356039871447986
ABCB5	209.727	177.07999999999998	32.64700000000002	0.33721788995235374	0.22841380763528765	-0.7077754209302376	-1.1296574681287028
ABCB6	12.2021275	4.973566	7.2285615	0.6825940485070073	0.42314337408303865	0.6314022801414105	-0.3746039224019454
ABCB7	91.78975	32.99436	58.79539	0.6555240440557771	0.4543327671457793	0.526439776415893	-0.25366870824479476
ABCB8	17.726209	4.895913800000001	12.8302952	0.8838390651457734	1.0841463665554079	1.4117191377446001	2.1884000543782003
ABCB9	20.37779	6.4788172	13.898972800000001	0.5082199469814048	0.8042119559047115	-0.044724032064757065	1.1029692531472477
ABCC1	16.35584	24.34382	-7.98798	0.47241024183279723	0.537895034879447	-0.18357426080565384	0.07033954428835876
ABCC10	15.82945	11.7293	4.100149999999999	0.5841422174844005	0.32722047220831263	0.24966053720554024	-0.7465398769573877
ABCC11	75.865375	34.392160000000004	41.473214999999996	0.4334388702364896	0.3918448786045587	-0.3346836831825708	-0.4959621753782854
ABCC12	83.35255	46.48214	36.87040999999999	0.26828615090912944	0.293578835523234	-0.9750545759509167	-0.8769835354448395
ABCC2	99.48795	52.97824000000001	46.50970999999999	0.29344992936625225	0.3272980190996144	-0.8774833622183007	-0.7462391930073045
ABCC3	18.0693025	19.649956	-1.5806535000000004	0.9144381739585576	0.549586200862175	1.5303655560909932	0.11567141910310283
ABCC4	152.05825	97.45406	54.60418999999999	0.460065639974175	0.11410517392687448	-0.2314397985047724	-1.572883120828323
ABCC5	30.214825	2.4326508000000002	27.7821742	0.540667681315107	0.5978314321508907	0.08109033350070703	0.30273973961274886
ABCC6	49.349175	56.64286	-7.293684999999996	0.2074142370488185	0.2830894700131734	-1.2110821871341098	-0.9176554927920062
ABCC8	44.267525	28.17142	16.096104999999998	0.2696651792795166	0.34910321021813717	-0.9697074667280448	-0.6616907232005493
ABCC9	202.9405	154.6432	48.29729999999998	0.3274316241156441	0.2603279063037302	-0.7457211466575883	-1.0059122464972114
ABCD1	24.369525	42.2188	-17.849275000000002	0.2042759726392633	0.31082732440330285	-1.223250640610837	-0.8101034364187938
ABCD2	238.435	170.8808	67.55420000000001	0.13412970584948722	0.15527637791782536	-1.4952390624272365	-1.4132439652430406
ABCD3	65.18572499999999	12.833484000000002	52.35224099999999	0.6193095552547718	1.057813211088001	0.3860200205735372	2.086294643430375
ABCD4	17.07749	5.4028512	11.6746388	0.6353844655735633	0.572996769342523	0.4483496310936726	0.20644465431856043
ABCE1	66.37275	13.448628	52.924122	0.6754949221983668	0.461613538385167	0.6038757951361693	-0.2254379046734218
ABCF1	8.4487575	7.897946	0.5508114999999991	0.9767789020717231	0.4095959953235541	1.7720884164849906	-0.42713316361707826
ABCF2	26.06175	5.395277999999999	20.666472	0.5162228528532986	0.6860842232136222	-0.013693189830985551	0.6449352470940302
ABCF3	14.223925000000001	6.0843679999999996	8.139557000000002	0.6590769160888774	0.635209640213401	0.5402158489201452	0.447671755050083
ABCG1	17.738005	16.403602	1.3344030000000018	0.7452031879353009	1.033876308785186	0.8741658911461018	1.993480576788344
ABCG2	193.70425	128.24506	65.45919	0.27958734300332716	0.4358499923272873	-0.9312348041652453	-0.32533468540556715
ABCG4	14.82503	7.692367999999999	7.132662000000001	0.45571633362699265	0.7680754374847079	-0.24830400273835523	0.9628518233137815
ABCG5	78.032675	22.894199999999998	55.138475	0.2965814164907554	0.4737799094662879	-0.8653411873042091	-0.17826344734265673
ABCG8	83.409475	40.80894	42.600535	0.4377648913258955	0.4901442992045913	-0.317909766298608	-0.11481139575666478
ABHD1	15.555675	8.692578000000001	6.863097	1.2650627954276774	0.36448583848966387	2.889893893203555	-0.6020453995299433
ABHD10	60.4119975	15.663467999999998	44.748529500000004	0.6379049853777637	1.0712398201409064	0.45812281269086313	2.138355606526101
ABHD11	13.8211425	13.196794	0.6243485	0.7088418895956945	0.7983163482805237	0.7331768891194638	1.0801093478844732
ABHD12	22.2971725	7.502516	14.794656499999999	0.6405562249128277	0.5193067597027896	0.46840285309786583	-0.0017355049047779428
ABHD12B	70.062925	23.123738	46.939187000000004	0.4609318757377431	0.6750596375398326	-0.2280810153643965	0.6021880020042777
ABHD13	57.30345	19.101174	38.202276	0.7835915411659674	0.7095545096952233	1.0230146907925752	0.7359400356858571
ABHD14A	19.1225575	18.60917	0.5133875000000003	0.38181866825270183	1.0980348990157591	-0.5348382732121656	2.2422521009391065
ABHD14B	11.818466749999999	9.625620000000001	2.1928467499999975	0.750735398935722	1.126249656945324	0.895616745311575	2.3516533254432255
ABHD15	12.780425	10.969328	1.8110969999999984	0.17081990001801994	1.0177282833888743	-1.3529747843018756	1.930867466440551
ABHD16A	10.20781	7.297908	2.9099020000000007	1.0539741868771761	0.5915338421756453	2.071409031063483	0.27832116914559696
ABHD16B	5.702405	5.56477	0.1376349999999995	0.7433252205716494	0.6399596372618723	0.8668841724910937	0.46608961618470546
ABHD17A	4.4854325	8.168747	-3.6833145	0.6140351073282951	1.25027161182596	0.3655686290294291	2.83254186481002
ABHD17B	80.4589	26.712114000000003	53.746786	0.6060524049478099	0.38854766756927167	0.33461612475995517	-0.508746935949664
ABHD17C	34.787275	19.128228	15.659047000000001	0.336799750004822	0.45062325805954134	-0.7093967363563086	-0.268052132598698
ABHD18	79.70495	29.641	50.06395	0.7256509922111397	0.36353791864189955	0.7983532912539708	-0.6057209083659949
ABHD2	13.497661749999999	3.7348999999999997	9.76276175	0.645313694452237	1.2244036045475166	0.4868496884190025	2.7322400412463397
ABHD3	64.087025	29.5753	34.511725	0.5104743072576543	0.3140202629968231	-0.03598286989314386	-0.7977229866991968
ABHD4	44.20175	13.879058	30.322691999999996	0.5568602796288831	0.4413503074191286	0.14387627296730687	-0.30400750593062326
ABHD5	45.09545	13.443098	31.652352	0.3771018820519749	0.8267820749637923	-0.5531273610495253	1.1904836903942826
ABHD6	41.36965	10.651242	30.718408	0.4485073700184352	0.2209008361191428	-0.2762563760371318	-1.1587886159337863
ABHD8	20.136325	16.472327999999997	3.663997000000002	0.18700916766523293	0.6620936315347093	-1.2902017593178783	0.5519130027493006
ABI1	49.526160000000004	13.164481999999998	36.361678000000005	0.6775608611290842	0.38147218995153254	0.6118863635534294	-0.5361817244126562
ABI2	53.7294	16.732026	36.99737399999999	0.6079294805823632	0.6405797095385855	0.3418943857827724	0.4684939134862389
ABI3	21.9421375	21.82892	0.11321750000000108	0.7432640962978084	0.4317097693825776	0.8666471663674962	-0.3413881798570176
ABI3BP	105.43865	11.719980000000001	93.71866999999999	0.5816477570630852	0.33637238696064903	0.23998839948065842	-0.7110538138494789
ABITRAM	41.3197125	10.087162000000001	31.232550500000002	0.5672220626672446	0.8948103704603316	0.18405353606035382	1.4542597910728183
ABL1	10.6181425	8.321015999999998	2.297126500000001	0.9360512438299801	0.8730030457938224	1.614169085971682	1.369703048547125
ABL2	51.322975	12.173354	39.149620999999996	0.651893546742469	0.4669933553520661	0.5123627160127402	-0.20457795027451936
ABLIM1	106.815175	31.33468	75.48049499999999	0.5933001685784879	0.3535435242964276	0.28517000590780955	-0.6444736413258603
ABLIM2	27.107925	18.588476	8.519449000000002	0.48997825529701544	0.5834256936222963	-0.1154552221845078	0.24688225400721164
ABLIM3	88.381625	46.84724	41.534385	0.24580029328274647	0.20150371339088563	-1.0622422939704246	-1.2339999285250738
ABR	18.84525	5.460392000000001	13.384858	0.37376138882241944	0.42750225362147903	-0.5660799460291096	-0.3577025986279909
ABRA	89.80377250000001	18.39602	71.40775250000002	0.6937612420896735	0.3952096419991583	0.674702479819468	-0.4829154841234896
ABRACL	85.47215	20.593446	64.878704	0.595298989533217	0.4350713747478339	0.292920327939909	-0.32835373369317883
ABRAXAS1	72.649075	12.993176	59.655899	0.5645889070846887	0.8042899803674318	0.1738436152181969	1.1032717888551273
ABRAXAS2	26.59065	7.291784	19.298866	0.3942729866751795	0.6472048717083264	-0.4865473153671739	0.49418262772994825
ABT1	42.7621	10.0116764	32.7504236	0.4718592677524588	0.7244117412790239	-0.1857106335227096	0.7935481616200468
ABTB1	11.5491575	7.205952000000001	4.343205499999999	0.5379438060826112	0.20856112104487257	0.0705286520368646	-1.20663520538627
ABTB2	19.1436125	9.687622000000001	9.455990499999999	0.6810968173879745	0.787856309100425	0.6255968460421077	1.0395511018232957
ABTB3	101.030925	53.22766	47.803264999999996	0.3762447298361133	0.19024918603252255	-0.5564509232163806	-1.2776387602773691
ACAA1	19.84635	10.9152778	8.931072200000001	0.5459711714026746	0.5626690385507275	0.10165433448110804	0.1663994270019941
ACAA2	80.044225	18.377162000000002	61.667063	0.6878439728971161	0.5217819310631957	0.6517585829764635	0.007861840511473437
ACACA	16.94643	7.1017796	9.844650399999999	0.4843214674178149	0.912116506725826	-0.137389116577276	1.521363414772397
ACACB	51.89335	38.881719999999994	13.011630000000004	0.44398751926789415	0.173033068279694	-0.2937818571317938	-1.344393341977783
ACAD10	18.6019	6.983452	11.618448	0.2216441448260812	0.9901296391366683	-1.1559064759229936	1.8238551899793345
ACAD11	86.5157	34.05162	52.464079999999996	0.5355402384372567	0.41158956145304704	0.06120894622061445	-0.41940321689058424
ACAD8	23.7935625	7.362004000000001	16.4315585	0.901197153718203	0.8333357797016241	1.4790242037535088	1.215895332243102
ACAD9	21.411506	5.55326	15.858246	0.7441494690573462	0.49384841668084767	0.8700801521927807	-0.10044887708394823
ACADL	127.907375	94.07570000000001	33.83167499999999	0.15708591155435347	0.29839555318959865	-1.4062275947282992	-0.8583069686599534
ACADM	66.64807	17.577268	49.070802	0.6836775943069507	0.6356964042700853	0.6356036713997026	0.44955915681262154
ACADS	22.90475	20.82676	2.07799	0.4652317364114596	0.5536935677224496	-0.21140853410207203	0.13159751583316986
ACADSB	30.95378	20.740522000000002	10.213257999999996	0.675398057009279	0.4834670922862278	0.6035002055130195	-0.14070191074743452
ACADVL	3.922325	6.707465999999999	-2.7851409999999994	0.646832766036239	0.583218419829835	0.49273980776059323	0.24607856089173322
ACAN	49.727175	40.334019999999995	9.393155000000007	0.14387755992751336	0.2125060932639639	-1.457442276252932	-1.1913387852475352
ACAP1	13.4195	10.938734	2.480765999999999	0.19500167788964481	0.32634279018407547	-1.2592112256547798	-0.7499430423652392
ACAP2	38.950145	10.220828000000001	28.729316999999998	0.6672218965185464	0.6571338279872619	0.5717975777016688	0.5326816280642799
ACAP3	3.80441025	7.18223	-3.3778197499999996	1.2507421313880933	0.6180459564816434	2.8343662794081896	0.38112048347996186
ACAT1	33.700829999999996	13.505444	20.195385999999996	0.5346017997299214	0.680507887256928	0.05757020000273641	0.623313300755464
ACAT2	25.752857499999998	14.636759999999999	11.116097499999999	0.570753924716719	0.5568031168600691	0.19774814346959368	0.14365462736893228
ACBD3	42.31785	12.23081	30.087040000000002	0.7983759205811286	0.517475320994633	1.0803403363143218	-0.008836811170695782
ACBD4	6.032970000000001	7.8829826	-1.8500125999999995	0.7019177835428505	1.1088108511139778	0.7063290358552768	2.2840352825522845
ACBD5	48.8591075	11.04655	37.8125575	0.5478640560016422	0.771093081272656	0.10899389392333363	0.974552576740159
ACBD6	63.6203	50.916520000000006	12.703779999999995	0.3221966400354599	0.4572440627629578	-0.7660195192348557	-0.24238031419910058
ACBD7	73.07837500000001	21.105719999999998	51.97265500000001	0.44676676210112004	0.4046620389678651	-0.2830054907384246	-0.4462643171896079
ACCS	40.069837500000006	18.355924	21.713913500000004	0.7978767025459946	0.549631355695369	1.078404644912165	0.11584650456922789
ACCSL	89.061975	61.502359999999996	27.559615000000008	0.44818907983462436	0.2851920164584857	-0.2774905293105172	-0.9095029806822739
ACD	7.4404625	5.343434	2.0970284999999995	0.8842805244512578	0.8564572090228094	1.4134308727419127	1.3055474457341256
ACE	10.2021275	11.148442	-0.9463144999999997	0.7045523640396585	0.4420515643618779	0.7165444817267244	-0.3012884194007899
ACE2	73.50377499999999	24.924860000000002	48.57891499999999	0.7262630442570158	0.3191888592116206	0.8007264905366389	-0.7776820295420317
ACER1	62.67960000000001	82.86492000000001	-20.185320000000004	0.24566373139934067	0.2609308242995129	-1.06277180541626	-1.0035744640083857
ACER2	111.783725	77.30574	34.477985000000004	0.4467401156156862	0.2702114221611061	-0.28310881106966646	-0.9675894389827161
ACER3	47.68865	28.42676	19.26189	0.5392204374697932	0.3299558318620005	0.0754787223988633	-0.7359336652606698
ACHE	15.6687875	13.536558	2.132229500000001	0.5148491134268489	0.5585524648454573	-0.019019791454801073	0.1504376312197199
ACIN1	15.5420625	7.750382	7.7916805	0.6104710541107983	0.5231808980824216	0.35174920207686144	0.013286260785652754
ACKR1	67.15520000000001	18.735386	48.41981400000001	0.5590204505800908	0.9559351371087742	0.1522522210364099	1.6912678255050764
ACKR2	67.2243275	16.6818	50.542527500000006	0.7580666571238992	0.22463392203930238	0.9240433093439391	-1.1443137736592548
ACKR3	41.423474999999996	23.18734	18.236134999999997	0.39272493034333106	0.20238724851255788	-0.4925498215282533	-1.2305740680429587
ACKR4	80.05795	36.570260000000005	43.48769	0.5908605432445868	0.34669738362197977	0.27571048832037076	-0.6710191879784945
ACLY	13.641155	13.29502	0.3461350000000003	0.6403813143446281	0.7769712829337327	0.4677246466646397	0.9973449913059452
ACMSD	155.128375	125.1786	29.949775000000002	0.3933111873799314	0.2732761089371236	-0.49027664102327256	-0.9557062788700231
ACO1	112.1181	44.12498	67.99312	0.49779500345552	0.2311454283469867	-0.08514619659174757	-1.1190657539808544
ACO2	13.726560000000001	6.862328	6.864232000000001	0.7262215172293278	0.702652199403412	0.8005654716935772	0.7091766943268202
ACOD1	149.0867	110.35092	38.735780000000005	0.35205796138283857	0.134484268763864	-0.6502338325786177	-1.4938642635686605
ACOT1	34.6818375	33.37442	1.3074174999999997	0.6372768009826458	0.4303464548740713	0.45568706108130325	-0.34667435941550084
ACOT11	83.3003	90.55236	-7.25206	0.16995378880713286	0.25728927733702167	-1.3563330844958497	-1.0176943688390538
ACOT12	143.088775	84.01968000000001	59.06909499999999	0.43061733836019483	0.30461582211828386	-0.34562402309314644	-0.834188206441901
ACOT13	122.157375	128.73618000000002	-6.578805000000017	0.21698606058097716	0.2551563677100595	-1.1739679500469216	-1.025964612572096
ACOT2	28.913	30.649919999999998	-1.7369199999999978	0.4768746416006138	0.4452786987162826	-0.16626378794977095	-0.2887753774355694
ACOT4	31.989975	14.793228	17.196747000000002	0.45277089773199874	0.7206799969015447	-0.25972477389702125	0.7790785211059673
ACOT6	26.5275525	14.323558	12.203994499999999	0.568072927008823	0.4843259977377061	0.18735271732882114	-0.13737155050264468
ACOT7	15.845495	5.482080600000001	10.3634144	0.49179475909668613	0.8939823556545758	-0.10841182523258426	1.45104920766525
ACOT8	11.94554	10.409236	1.5363039999999994	0.5438378722862678	0.22124374047033576	0.09338258052344231	-1.1574590225344046
ACOT9	38.29715	16.607	21.690150000000003	0.17976515488510056	0.3129687556153654	-1.3182900339168795	-0.8018001506923726
ACOX1	16.73794	3.5596320000000006	13.178307999999998	0.8771900027108416	0.6096722284790661	1.3859377514927036	0.34865179814042
ACOX2	38.124515	10.745398	27.379117	0.7190186695779874	0.6866162099467682	0.7726368126939002	0.6469979973813589
ACOX3	38.043375	9.333196	28.710178999999997	0.12939424731392998	0.8344927869453318	-1.5136005512506294	1.2203815663457567
ACOXL	200.16325	157.0758	43.08745000000002	0.08244992010963902	0.18693992802815432	-1.6956246853046	-1.2904702323311692
ACP1	39.7209725	8.744344	30.976628500000004	0.6032112911221149	0.47492957225720817	0.32359985688118964	-0.17380569096539195
ACP2	11.086617500000001	9.1971212	1.8894963000000011	0.6453111815371619	0.8715289432577259	0.48683994472433856	1.363987294299076
ACP3	125.562175	67.51228	58.04989499999999	0.5289147940083214	0.3136414296046209	0.0355191375318786	-0.7991918930457775
ACP4	12.8349475	10.92136	1.9135875000000002	0.670197949369065	0.4563710027969374	0.5833370644783583	-0.24576555782183876
ACP5	24.488500000000002	11.149206	13.339294000000002	0.3871664519204149	0.3580115900193436	-0.5141025262285672	-0.627148953923893
ACP6	33.36375	15.00703	18.356720000000003	0.4721319802865809	0.414492450471311	-0.18465320516393874	-0.40814741898544393
ACP7	23.98361	11.68618	12.297429999999999	0.5473699824058298	0.3329101897718925	0.107078149811264	-0.7244782994633635
ACR	32.308875	21.42076	10.888114999999999	0.49272663576509307	0.05267023575265577	-0.10479852297193609	-1.8110938288688723
ACRBP	47.515100000000004	50.73542	-3.220319999999994	0.42901593432934415	0.6925130869719975	-0.351833382122143	0.6698628246792142
ACRV1	90.671525	56.42826	34.243265	0.39012090653153786	0.4531147873858457	-0.5026467854773766	-0.25839136003895896
ACSBG1	22.443275	7.9033702	14.539904799999999	0.43641080435385443	0.8874074903630346	-0.3231601665748104	1.4255555168939205
ACSBG2	30.033625	33.304739999999995	-3.2711149999999947	0.5670294014107697	0.37595260999245583	0.18330650227663428	-0.5575836023865459
ACSF2	39.17615	16.05676	23.11939	0.5874836609911558	0.35680642749289987	0.26261680683446764	-0.6318219075763241
ACSF3	14.917675000000001	8.198076	6.7195990000000005	0.2904541707427171	0.5641011008636683	-0.8890992570826721	0.17195217251882722
ACSL1	69.572475	32.46392	37.108554999999996	0.3013177697135381	0.35551642657470445	-0.8469762293786445	-0.6368238175843535
