gene,cv_FXS_zscore,BRAIN_BREACH
VASH2,-0.148641939,TRUE
FAM161A,-0.163725083,TRUE
ERI1,-0.17208963,TRUE
SERPINA9,-0.174138066,TRUE
USP33,-0.181198491,TRUE
LGALS3,-0.196085811,TRUE
SERPINA1,-0.196412774,TRUE
SLC45A4,-0.20350518,TRUE
PEX13,-0.203939008,TRUE
TBX19,-0.211558475,TRUE
FBXO15,-0.223049145,TRUE
SLC26A3,-0.224985707,TRUE
GCH1,-0.234010386,TRUE
API5,-0.248933171,TRUE
PCNX1,-0.249720573,TRUE
MRLN,-0.254056356,TRUE
WDHD1,-0.286362811,TRUE
MEDAG,-0.291479121,TRUE
LRTM1,-0.292121282,TRUE
HEBP1,-0.308140286,TRUE
ACCSL,-0.317031071,TRUE
PIGK,-0.319472198,TRUE
LRGUK,-0.319475856,TRUE
MIGA1,-0.332342921,TRUE
FAM234B,-0.354406981,TRUE
SMIM2,-0.370675262,TRUE
ACOT12,-0.397294078,TRUE
LAMB4,-0.397814209,TRUE
SALL3,-0.412958274,TRUE
RBFOX1,-0.415294989,TRUE
RAB33B,-0.466627452,TRUE
CACNA2D3,-0.472284634,TRUE
ZAR1L,-0.48110703,TRUE
SLC35B4,-0.483639908,TRUE
SERPINA11,-0.505410583,TRUE
C2orf74,-0.510542376,TRUE
MPZL1,-0.551070727,TRUE
RALB,-0.554174611,TRUE
TMEM185B,-0.560517619,TRUE
DNAJB9,-0.594141872,TRUE
SLC26A4,-0.605118111,TRUE
ALKBH3,-0.655072773,TRUE
SERPINA4,-0.661270043,TRUE
CLMN,-0.690154595,TRUE
C8orf90,-0.710120058,TRUE
ATF3,-0.717452468,TRUE
CD247,-0.722716454,TRUE
MAPK1IP1L,-0.751369668,TRUE
SERPINA10,-0.753347752,TRUE
ZNF407,-0.771209784,TRUE
ENOX1,-0.78581089,TRUE
DCAF6,-0.803746332,TRUE
CFAP221,-0.807792421,TRUE
GNG4,-0.814632763,TRUE
SMIM21,-0.855145378,TRUE
DAP,-0.8626273,TRUE
DIPK1C,-0.873823812,TRUE
CDKL4,-0.881458713,TRUE
TTC9,-0.898443296,TRUE
LYST,-0.93032209,TRUE
PTP4A3,-0.944114496,TRUE
FLVCR1,-0.954333072,TRUE
PABPC3,-0.999264535,TRUE
PTPRG,-1.004832452,TRUE
RCSD1,-1.036718406,TRUE
PUS10,-1.07511408,TRUE
GSC,-1.083532211,TRUE
THAP5,-1.14099574,TRUE
SERPINA5,-1.158406087,TRUE
TEX26,-1.237970359,TRUE
NRCAM,-1.285025548,TRUE
PACC1,-1.298754209,TRUE
NEXN,-1.332086879,TRUE
PTK2,-1.336520095,TRUE
FBLL1,-1.354861213,TRUE
TEX35,-1.404315161,TRUE
C11orf96,-1.411602347,TRUE
STYXL2,-1.433496915,TRUE
FEZF2,-1.455869812,TRUE
MAP4K3,-1.45710785,TRUE
GARIN4,-1.527666195,TRUE
SLC16A9,-1.531474756,TRUE
CCDC122,-1.569269712,TRUE
SLC35G2,-1.597592682,TRUE
SERPINA6,-1.654641539,TRUE
RALGPS2,-1.817834893,TRUE
IL20RB,-1.966311133,TRUE
SERPINA3,-2.102981368,TRUE
NID1,-2.118073671,TRUE
ADCY10,-2.284583297,TRUE
